dt,AverageTemperature,State,Country
1950,1.406719480519456,Alabama,United States
1951,-0.25713506493508476,Alabama,United States
1952,0.5168649350649162,Alabama,United States
1953,-0.2029714285714448,Alabama,United States
1954,-0.8382077922078253,Alabama,United States
1955,-0.3446805194805478,Alabama,United States
1956,-0.7135168831169096,Alabama,United States
1957,-0.5336805194805407,Alabama,United States
1958,1.5787012987012758,Alabama,United States
1959,0.012701298701273345,Alabama,United States
1960,1.657737662337638,Alabama,United States
1961,0.7219012987012832,Alabama,United States
1962,-0.11231688311690391,Alabama,United States
1963,0.9488649350649183,Alabama,United States
1964,0.47448311688309275,Alabama,United States
1965,0.1671740259740062,Alabama,United States
1966,0.9724285714285514,Alabama,United States
1967,1.1218285714285514,Alabama,United States
1968,1.7798103896103683,Alabama,United States
1969,1.4900103896103687,Alabama,United States
1970,0.17470129870127948,Alabama,United States
1971,0.1385376623376402,Alabama,United States
1972,0.27484675324673447,Alabama,United States
1973,-0.31751688311690884,Alabama,United States
1974,0.6934285714285409,Alabama,United States
1975,0.40690129870128544,Alabama,United States
1976,1.9370649350649174,Alabama,United States
1977,-0.6933896103896302,Alabama,United States
1978,0.23688311688309227,Alabama,United States
1979,0.9853558441558192,Alabama,United States
1980,0.5451740259740063,Alabama,United States
1981,0.4085376623376362,Alabama,United States
1982,-0.6758805194805433,Alabama,United States
1983,1.6266467532467317,Alabama,United States
1984,-0.27333506493508253,Alabama,United States
1985,-0.6079714285714459,Alabama,United States
1986,-1.4475896103896275,Alabama,United States
1987,-0.20362597402599647,Alabama,United States
1988,0.5918103896103588,Alabama,United States
1989,1.3473194805194666,Alabama,United States
1990,-1.6491896103896266,Alabama,United States
1991,-1.0384987012987352,Alabama,United States
1992,0.7916103896103692,Alabama,United States
1993,1.0198831168830935,Alabama,United States
1994,-0.4641350649350784,Alabama,United States
1995,-0.08728051948054372,Alabama,United States
1996,0.6670831168830915,Alabama,United States
1997,0.5070467532467262,Alabama,United States
1998,-2.2919532467532804,Alabama,United States
1999,-1.1566441558441767,Alabama,United States
2000,-0.7102441558441797,Alabama,United States
2001,-0.7287350649350941,Alabama,United States
2002,-0.8697896103896312,Alabama,United States
2003,-0.490316883116904,Alabama,United States
2004,-0.7752077922078087,Alabama,United States
2005,-0.36153506493509724,Alabama,United States
2006,-1.0389896103896348,Alabama,United States
2007,-1.6986077922078096,Alabama,United States
2008,-0.3492623376623527,Alabama,United States
2009,-0.2332441558441758,Alabama,United States
2010,-0.4235532467532721,Alabama,United States
2011,-1.615480519480542,Alabama,United States
2012,-1.9975714285714474,Alabama,United States
2013,-1.9975714285714474,Alaska,United States
1950,-3.2122768831168784,Alaska,United States
1951,0.4748267532467594,Alaska,United States
1952,0.4438994805194838,Alaska,United States
1953,-0.3197914285714205,Alaska,United States
1954,1.2949722077922132,Alaska,United States
1955,3.98891766233767,Alaska,United States
1956,4.16564493506494,Alaska,United States
1957,-1.1783914285714232,Alaska,United States
1958,-0.5372641558441522,Alaska,United States
1959,1.687863116883122,Alaska,United States
1960,0.019917662337668673,Alaska,United States
1961,3.59962675324676,Alaska,United States
1962,-0.48359142857142245,Alaska,United States
1963,0.5322631168831222,Alaska,United States
1964,3.4281358441558503,Alaska,United States
1965,1.4859358441558506,Alaska,United States
1966,2.377263116883121,Alaska,United States
1967,-0.7967914285714244,Alaska,United States
1968,1.0882994805194848,Alaska,United States
1969,-1.1654641558441519,Alaska,United States
1970,0.553208571428577,Alaska,United States
1971,3.0915358441558496,Alaska,United States
1972,2.258135844155852,Alaska,United States
1973,1.0845358441558481,Alaska,United States
1974,2.736608571428576,Alaska,United States
1975,2.855408571428576,Alaska,United States
1976,0.4479903896103927,Alaska,United States
1977,0.5090267532467578,Alaska,United States
1978,-2.073318701298696,Alaska,United States
1979,-0.9232823376623287,Alaska,United States
1980,-0.5155005194805149,Alaska,United States
1981,-1.6087550649350604,Alaska,United States
1982,0.7430267532467596,Alaska,United States
1983,-0.806936883116876,Alaska,United States
1984,1.365172207792213,Alaska,United States
1985,1.6340267532467578,Alaska,United States
1986,-0.15500961038960526,Alaska,United States
1987,-0.7905732467532403,Alaska,United States
1988,-0.5011005194805165,Alaska,United States
1989,-1.904282337662334,Alaska,United States
1990,0.5694085714285784,Alaska,United States
1991,-0.5806277922077854,Alaska,United States
1992,1.8055176623376639,Alaska,United States
1993,-3.7000277922077878,Alaska,United States
1994,0.7543176623376695,Alaska,United States
1995,-1.347100519480513,Alaska,United States
1996,0.6760994805194827,Alaska,United States
1997,-2.2940641558441506,Alaska,United States
1998,-2.764191428571422,Alaska,United States
1999,1.9586812987013076,Alaska,United States
2000,-2.2778641558441493,Alaska,United States
2001,-0.11213688311687875,Alaska,United States
2002,-3.63244597402597,Alaska,United States
2003,-2.4225187012986957,Alaska,United States
2004,-3.4357550649350586,Alaska,United States
2005,-2.6820459740259714,Alaska,United States
2006,-1.110318701298695,Alaska,United States
2007,-1.9602459740259697,Alaska,United States
2008,0.7862267532467584,Alaska,United States
2009,-1.0065732467532413,Alaska,United States
2010,-1.8943005194805167,Alaska,United States
2011,-0.6979550649350585,Alaska,United States
2012,0.4740085714285769,Alaska,United States
